Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6605a63ac1518b46ba35922d,6525b562b415d2f7ed82196e,APPROVED,Not Applicable,2024-03-28T17:18:08.452000Z,2024-03-28T17:47:31.603000Z,2024-03-28T23:53:47.877000Z,2024-03-28T17:47:32.270915Z,1764.0,C14S9AP8,125,29,Female,White,Turkey,Canada,Turkey,Turkish,Yes,Part-Time
6605d50a07056ee84db22f14,653247e7480d5c8658178741,APPROVED,Not Applicable,2024-03-28T20:37:38.537000Z,2024-03-28T20:48:49.768000Z,2024-04-02T13:02:18.937000Z,2024-03-28T20:48:51.330060Z,672.0,C14S9AP8,125,38,Female,Mixed,Turkey,Canada,Turkey,Turkish,Yes,Full-Time
6605dbcea5cead0afc0745ec,659584520ee62e6d4c5a7304,APPROVED,Not Applicable,2024-03-28T21:06:28.119000Z,2024-03-28T21:51:06.884000Z,2024-03-28T23:54:50.777000Z,2024-03-28T22:55:15.650278Z,2679.0,C14S9AP8,7,25,Female,White,Turkey,Switzerland,Turkey,Turkish,Yes,Part-Time
6605e61444af28cc3bb99d35,652dd0987e5db7a9f62d6807,APPROVED,Not Applicable,2024-03-28T21:50:12.884000Z,2024-03-28T21:54:22.297000Z,2024-04-02T13:02:21.436000Z,2024-03-28T21:54:23.105036Z,250.0,C14S9AP8,11,35,Female,Mixed,Turkey,Canada,Turkey,Turkish,No,Unemployed (and job seeking)
6606853935856470546aff98,64871ec9aef35e285f22cdad,APPROVED,Not Applicable,2024-03-29T09:09:18.430000Z,2024-03-29T09:50:02.628000Z,2024-03-29T14:47:35.125000Z,2024-03-29T09:50:03.169511Z,2445.0,C14S9AP8,288,36,Female,White,Australia,Australia,Turkey,English,No,Full-Time
66068dd535856470546b01d4,65b4f706fb1adf4ff37c7093,APPROVED,Not Applicable,2024-03-29T09:46:14.445000Z,2024-03-29T10:21:14.365000Z,2024-03-29T14:46:22.018000Z,2024-03-29T10:25:08.096505Z,2100.0,C14S9AP8,17,26,Female,White,Turkey,Australia,Turkey,Turkish,Yes,Full-Time
6606b2c4f9063d11cb7b4e69,653198876ca84c57a3b07e1b,APPROVED,Not Applicable,2024-03-29T12:23:52.405000Z,2024-03-29T13:08:15.057000Z,2024-03-31T15:31:15.513000Z,2024-03-29T13:08:18.098496Z,2663.0,C14S9AP8,20,37,Female,White,Turkey,Switzerland,Turkey,Turkish,Yes,Unemployed (and job seeking)
66059602e00ed9ec896004fa,659b1aa90f0e1635b20c2fc3,TIMED-OUT,Not Applicable,2024-03-28T16:08:40.308000Z,,,,10541014.0,,137,41,Male,White,Turkey,Canada,Turkey,Turkish,No,Full-Time
6605c9e4e345a478af4a7008,6529bbd765aebce5986516d4,TIMED-OUT,Not Applicable,2024-03-28T19:50:04.635000Z,,,,10527730.0,,143,23,Female,Other,Turkey,Canada,Turkey,Turkish,Yes,Unemployed (and job seeking)
6605a63ac1518b46ba35922d,6525b562b415d2f7ed82196e,APPROVED,Not Applicable,2024-03-28T17:18:08.452000Z,2024-03-28T17:47:31.603000Z,2024-03-28T23:53:47.877000Z,2024-03-28T17:47:32.536000Z,1764.0,C14S9AP8,216,29,Female,White,Turkey,Canada,Turkey,Turkish,Yes,Due to start a new job within the next month
6605d50a07056ee84db22f14,653247e7480d5c8658178741,APPROVED,Not Applicable,2024-03-28T20:37:38.537000Z,2024-03-28T20:48:49.768000Z,2024-04-02T13:02:18.937000Z,2024-03-28T20:48:52.566000Z,672.0,C14S9AP8,197,39,Female,Mixed,Turkey,Canada,Turkey,Turkish,No,Full-Time
6605dbcea5cead0afc0745ec,659584520ee62e6d4c5a7304,APPROVED,Not Applicable,2024-03-28T21:06:28.119000Z,2024-03-28T21:51:06.884000Z,2024-03-28T23:54:50.777000Z,2024-03-28T22:55:17.344000Z,2679.0,C14S9AP8,27,25,Female,White,Turkey,Switzerland,Turkey,Turkish,Yes,Part-Time
6605e61444af28cc3bb99d35,652dd0987e5db7a9f62d6807,APPROVED,Not Applicable,2024-03-28T21:50:12.884000Z,2024-03-28T21:54:22.297000Z,2024-04-02T13:02:21.436000Z,2024-03-28T21:54:23.387000Z,250.0,C14S9AP8,34,35,Female,Mixed,Turkey,Canada,Turkey,Turkish,DATA_EXPIRED,DATA_EXPIRED
6606853935856470546aff98,64871ec9aef35e285f22cdad,APPROVED,Not Applicable,2024-03-29T09:09:18.430000Z,2024-03-29T09:50:02.628000Z,2024-03-29T14:47:35.125000Z,2024-03-29T09:50:03.490000Z,2445.0,C14S9AP8,349,36,Female,White,Australia,Australia,Turkey,English,DATA_EXPIRED,DATA_EXPIRED
66068dd535856470546b01d4,65b4f706fb1adf4ff37c7093,APPROVED,Not Applicable,2024-03-29T09:46:14.445000Z,2024-03-29T10:21:14.365000Z,2024-03-29T14:46:22.018000Z,2024-03-29T10:25:10.064000Z,2100.0,C14S9AP8,85,26,Female,White,Turkey,Australia,Turkey,Turkish,DATA_EXPIRED,Part-Time
6606b2c4f9063d11cb7b4e69,653198876ca84c57a3b07e1b,APPROVED,Not Applicable,2024-03-29T12:23:52.405000Z,2024-03-29T13:08:15.057000Z,2024-03-31T15:31:15.513000Z,2024-03-29T13:08:18.373000Z,2663.0,C14S9AP8,22,37,Female,White,Turkey,Switzerland,Turkey,Turkish,DATA_EXPIRED,DATA_EXPIRED
